recipe,meal,price,minutes,vegetarian,ingredients,family
Кускус с консервированным тунцом и огурцом,Обед,1,8,0,"Кускус, Тунец консервированный, Огурцы, Помидоры, Лимон, Оливковое масло",fast-tuna-couscous
Булгур быстрого приготовления с нутом и томатами,Обед,1,10,1,"Булгур, Нут, Помидоры, Огурцы, Лимон, Оливковое масло",fast-chickpea-bulgur
Омлет с помидорами и фетой за 10 минут,Ужин,2,10,1,"Яйца, Помидоры, Фета, Шпинат, Оливковое масло, Соль, Чёрный перец",fast-egg-feta
Тофу с кабачком и соевым соусом,Ужин,1,10,1,"Тофу, Кабачок, Соевый соус, Имбирь, Чеснок, Оливковое масло",fast-tofu-zucchini
Креветки с кускусом и лимоном,Ужин,2,10,0,"Креветки, Кускус, Огурцы, Лимон, Оливковое масло, Петрушка",fast-shrimp-couscous
Тёплый боул с фасолью и рисом,Обед,1,10,1,"Фасоль, Рис, Помидоры, Авокадо, Лимон",fast-bean-rice
Тост с консервированным тунцом и авокадо,Обед,2,8,0,"Хлеб цельнозерновой, Тунец консервированный, Авокадо, Помидоры, Лимон, Чёрный перец",fast-tuna-toast
Тёплый кускус с чечевицей и шпинатом,Ужин,1,10,1,"Кускус, Чечевица, Шпинат, Помидоры, Лимон, Оливковое масло",fast-lentil-couscous
Гречка с яйцом и шпинатом,Обед,1,20,1,"Гречка, Яйца, Шпинат, Помидоры, Оливковое масло, Соль",budget-veg-buckwheat-egg
Картофель с фасолью и томатным соусом,Обед,1,25,1,"Картофель, Фасоль, Томатная паста, Помидоры, Чеснок, Петрушка",budget-veg-potato-beans
Чечевица с рисом и морковью,Обед,1,25,1,"Чечевица, Рис, Морковь, Помидоры, Чеснок, Сушёные травы",budget-veg-lentil-rice
Омлет с картофелем и шпинатом,Ужин,1,20,1,"Яйца, Картофель, Шпинат, Оливковое масло, Соль, Чёрный перец",budget-veg-potato-omelet
Булгур с чечевицей и морковью,Ужин,1,20,1,"Булгур, Чечевица, Морковь, Помидоры, Лимон, Оливковое масло",budget-veg-bulgur-lentil
Рис с фасолью и перцем,Ужин,1,20,1,"Рис, Фасоль, Перец, Помидоры, Чеснок",budget-veg-rice-beans
Овсянка на воде с бананом и арахисовой пастой,Завтрак,1,8,1,"Овсянка, Банан, Арахисовая паста, Семена льна, Соль",budget-lf-oats-banana
Овсянка с яблоком и семенами льна,Завтрак,1,8,1,"Овсянка, Яблоко, Семена льна, Соль",budget-lf-oats-apple
Рис с курицей и морковью,Обед,1,25,0,"Курица, Рис, Морковь, Помидоры, Чеснок, Соль",budget-lf-chicken-rice
Индейка с гречкой и морковью,Обед,1,25,0,"Индейка, Гречка, Морковь, Кабачок, Оливковое масло, Соль",budget-lf-turkey-buckwheat
Треска с картофелем и морковью,Ужин,1,25,0,"Треска, Картофель, Морковь, Лимон, Оливковое масло",budget-lf-cod-potato
Курица с булгуром и кабачком,Ужин,1,22,0,"Курица, Булгур, Кабачок, Помидоры, Чеснок, Оливковое масло",budget-lf-chicken-bulgur
Рисовая каша с бананом на воде,Завтрак,1,20,1,"Рис, Банан, Соль",gentle-rice-porridge
Омлет с кабачком и помидорами,Завтрак,1,12,1,"Яйца, Кабачок, Помидоры, Оливковое масло, Соль",gentle-zucchini-omelet
Курица с рисом и кабачком,Обед,1,22,0,"Курица, Рис, Кабачок, Морковь, Оливковое масло, Соль",gentle-chicken-rice-zucchini
Индейка с картофелем и кабачком,Обед,1,25,0,"Индейка, Картофель, Кабачок, Оливковое масло, Соль",gentle-turkey-potato
Треска с рисом и морковью,Ужин,1,22,0,"Треска, Рис, Морковь, Кабачок, Оливковое масло, Соль",gentle-cod-rice
Курица с картофелем и шпинатом,Ужин,1,22,0,"Курица, Картофель, Шпинат, Оливковое масло, Соль",gentle-chicken-potato-spinach
Тост с яйцом и огурцом,Перекус,1,10,1,"Хлеб цельнозерновой, Яйца, Огурцы, Соль",gentle-egg-toast
