recipe,meal,status,issues,ingredients
Овсянка с черникой и йогуртом,Завтрак,approved,,"Овсянка, Греческий йогурт 2%, Черника, Семена чиа, Соль"
Овсянка с малиной и миндалём,Завтрак,approved,,"Овсянка, Малина, Миндаль, Молоко 3,2%, Соль"
Овсянка с яблоком и льном,Завтрак,approved,,"Овсянка, Яблоко, Семена льна, Молоко 3,2%, Соль"
Овсянка с грушей и грецким орехом,Завтрак,approved,,"Овсянка, Груша, Грецкие орехи, Кефир 2,5%, Соль"
Овсянка с бананом и сливочным маслом,Завтрак,approved,,"Овсянка, Банан, Молоко 3,2%, Сливочное масло, Соль"
Гречневая каша с яблоком,Завтрак,approved,,"Гречка, Яблоко, Молоко 3,2%, Семена чиа"
Киноа с клубникой и йогуртом,Завтрак,approved,,"Киноа, Клубника, Греческий йогурт 2%, Мёд"
Йогурт-боул с голубикой,Завтрак,approved,,"Греческий йогурт 2%, Голубика, Овсянка, Фисташки, Соль"
Йогурт-боул с малиной и чиа,Завтрак,approved,,"Греческий йогурт 2%, Малина, Семена чиа, Банан"
Творог с клубникой и миндалём,Завтрак,approved,,"Творог 5%, Клубника, Миндаль, Мёд"
Творог с черникой и бананом,Завтрак,approved,,"Творог 5%, Черника, Банан, Семена чиа"
Творожные оладьи с овсянкой,Завтрак,approved,,"Творог 5%, Овсянка, Яйца, Банан, Соль"
Омлет со шпинатом и томатами,Завтрак,approved,,"Яйца, Шпинат, Помидоры, Чеддер, Соль, Чёрный перец, Оливковое масло, Базилик"
Омлет с брокколи и сыром,Завтрак,approved,,"Яйца, Брокколи, Гауда, Соль, Чёрный перец"
Омлет с индейкой и перцем,Завтрак,approved,,"Яйца, Индейка, Перец, Соль, Чёрный перец, Оливковое масло, Чеснок, Соевый соус, Имбирь"
Яичница с авокадо и тостом,Завтрак,approved,,"Яйца, Авокадо, Хлеб цельнозерновой, Помидоры, Соль, Чёрный перец, Оливковое масло, Базилик"
Скрэмбл со слабосолёным лососем и шпинатом,Завтрак,approved,,"Яйца, Шпинат, Оливковое масло, Лимон, Соль, Чёрный перец, Лосось слабосолёный"
"Тост с авокадо, фетой и помидорами",Завтрак,approved,,"Хлеб цельнозерновой, Авокадо, Фета, Помидоры, Лимон, Чёрный перец"
Тост с рикоттой и клубникой,Завтрак,approved,,"Хлеб цельнозерновой, Рикотта, Клубника, Мёд"
Тост с тунцом и огурцом,Завтрак,approved,,"Хлеб цельнозерновой, Тунец консервированный в собственном соку, Огурцы, Греческий йогурт 2%, Чёрный перец, Лимон, Горчица, Оливковое масло"
Буррито-завтрак с яйцом и фасолью,Завтрак,approved,,"Яйца, Фасоль готовая, Перец, Пармезан, Соль, Чёрный перец, Оливковое масло, Лимон, Тахини, Чеснок"
Французский тост с творогом и малиной,Завтрак,approved,,"Хлеб цельнозерновой, Яйца, Творог 5%, Малина, Мёд, Соль, Чёрный перец"
