validation_class,source,url
pancake,The Kitchn — Cottage Cheese Pancakes,https://www.thekitchn.com/cottage-cheese-pancakes-263223
porridge,Good Food — Fruit & nut breakfast bowl,https://www.bbcgoodfood.com/recipes/fruit-nut-breakfast-bowl
dairy_bowl,Good Food — Pear & blueberry breakfast bowl,https://www.bbcgoodfood.com/recipes/pear-blueberry-breakfast-bowl
egg,Good Food — Scrambled eggs with spinach & tomatoes,https://www.bbcgoodfood.com/recipes/basil-scramble-wilted-spinach-seared-tomatoes/
smoothie,Good Food — Blueberry smoothie,https://www.bbcgoodfood.com/recipes/blueberry-smoothie-recipe
chia,Good Food — Chia pudding,https://www.bbcgoodfood.com/recipes/chia-pudding
toast,Good Food — Avocado toast collection,https://www.bbcgoodfood.com/recipes/collection/avocado-toast-recipes
snack,EatingWell — Cottage Cheese Snack Recipes,https://www.eatingwell.com/cottage-cheese-snack-recipes-11971597
quinoa_bowl,"Good Food — Herby quinoa, feta & pomegranate salad",https://www.bbcgoodfood.com/recipes/herby-quinoa-feta-pomegranate-salad
pasta,"Good Food — Creamy spinach, basil & chicken pasta",https://www.bbcgoodfood.com/recipes/creamy-spinach-basil-chicken-pasta
tuna_pasta,"Good Food — Lemony tuna, tomato & caper one-pot pasta",https://www.bbcgoodfood.com/recipes/lemony-tuna-tomato-caper-one-pot-pasta
prawn_pasta,Good Food — Prawn pasta,https://www.bbcgoodfood.com/recipes/special-prawn-pasta
main_stirfry,Good Food — Stir-fried chicken with broccoli & brown rice,https://www.bbcgoodfood.com/recipes/stir-fried-chicken-broccoli-brown-rice
onepot,Good Food — One-pot chicken & rice,https://www.bbcgoodfood.com/recipes/one-pot-chicken-rice
legume_onepot,Good Food — One-pot chicken & chickpea pilau,https://www.bbcgoodfood.com/recipes/one-pot-chicken-chickpea-pilau
airfryer,EatingWell — High-Protein Air-Fryer Dinners,https://www.eatingwell.com/high-protein-dinners-you-can-make-in-an-air-fryer-8546499
multicooker,EatingWell — Slow-Cooker Chicken & Rice Recipes,https://www.eatingwell.com/gallery/7824676/slow-cooker-chicken-and-rice-recipes/
hummus,EatingWell — How to Make Hummus from Scratch,https://www.eatingwell.com/article/291328/how-to-make-hummus-from-scratch/
quinoa_salad,"Good Food — Tuna, avocado & quinoa salad",https://www.bbcgoodfood.com/recipes/tuna-avocado-quinoa-salad
